,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,lang
0,DLMcGyver,Diane Lynn McGyver,4795000118,993990109472133120,/DLMcGyver/status/993990109472133120,2018-05-08 23:04:44,1525820684,"Death Notice: The #Avengers #InfinityWar

Bucky – killed by Thanos when he snapped his fingers.

Prognosis: Is he dead? Huge spoiler: Stop Reading: Anyone who has read the comics or saw the cartoon version knows the answer.

#InfinityWarDeaths
#infinitywarspoilers
#Marvel","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Death Notice: The <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a>

Bucky – killed by Thanos when he snapped his fingers.

Prognosis: Is he dead? Huge spoiler: Stop Reading: Anyone who has read the comics <strong>or</strong> saw the cartoon version knows the answer.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWarDeaths?src=hash""><s>#</s><b>InfinityWarDeaths</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/infinitywarspoilers?src=hash""><s>#</s><b>infinitywarspoilers</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Marvel?src=hash""><s>#</s><b>Marvel</b></a></p>",[],"['Avengers', 'InfinityWar', 'InfinityWarDeaths', 'infinitywarspoilers', 'Marvel']",False,[],,0,0,0,False,False,,[],en
1,moviepollz,✇,878008262129483776,993980079649636353,/moviepollz/status/993980079649636353,2018-05-08 22:24:52,1525818292,"Which scene did you think better / more epic? Avengers 1, when Banner turned into the Hulk during the Battle of New York OR when Thor, Rocket & Groot arrived in the middle of the Battle of Wakanda?

#Avengers #TheAvengers #InfinityWar #AvengersInfinintyWar #SHPOLL18","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Which scene did you think better / more epic? Avengers 1, when Banner turned into the Hulk during the Battle of New York <strong>OR</strong> when Thor, Rocket &amp; Groot arrived in the middle of the Battle of Wakanda?

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TheAvengers?src=hash""><s>#</s><b>TheAvengers</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AvengersInfinintyWar?src=hash""><s>#</s><b>AvengersInfinintyWar</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SHPOLL18?src=hash""><s>#</s><b>SHPOLL18</b></a></p>",[],"['Avengers', 'TheAvengers', 'InfinityWar', 'AvengersInfinintyWar', 'SHPOLL18']",False,[],,8,8,3,True,False,,[],en
2,SKYLERIZED,Sky,19277445,993973778450452480,/SKYLERIZED/status/993973778450452480,2018-05-08 21:59:50,1525816790,"Thanos is Saudi Arabia (and Iran).  I’m just putting this out there. If you agree or disagree or wonder what the hell I’m talking about, please let me know. #Avengers #InfinityWar","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thanos is Saudi Arabia (and Iran).  I’m just putting this out there. If you agree <strong>or</strong> disagree <strong>or</strong> wonder what the hell I’m talking about, please let me know. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a></p>",[],"['Avengers', 'InfinityWar']",False,[],,2,1,1,True,False,,[],en
3,DenSensuah,Pontmercy met Bob Morley,534683706,993959365987233795,/DenSensuah/status/993959365987233795,2018-05-08 21:02:34,1525813354,"My only problem with #Avengers #InfinityWar is that at no point do either Benedict Cumberbatch or RDJ. Say ""not shit,Sherlock"" to each other
@RobertDowneyJr","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My only problem with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> is that at no point do either Benedict Cumberbatch <strong>or</strong> RDJ. Say ""not shit,Sherlock"" to each other
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""47786101"" dir=""ltr"" href=""/RobertDowneyJr""><s>@</s><b>RobertDowneyJr</b></a></p>",[],"['Avengers', 'InfinityWar']",False,[],,0,1,0,False,False,,[],en
4,OmkarKumarNet,Omkar Kumar,1405606038,993927372914266112,/OmkarKumarNet/status/993927372914266112,2018-05-08 18:55:26,1525805726,#avengers #infinitywar or just a snap of finger for… https://www.instagram.com/p/BihFGXFFQNM/?utm_source=ig_twitter_share …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/avengers?src=hash""><s>#</s><b><strong>avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/infinitywar?src=hash""><s>#</s><b><strong>infinitywar</strong></b></a> <strong>or</strong> just a snap of finger for… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BihFGXFFQNM/?utm_source=ig_twitter_share"" dir=""ltr"" href=""https://t.co/cdQn4F33Qw"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BihFGXFFQNM/?utm_source=ig_twitter_share""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BihFGXFFQNM/</span><span class=""invisible"">?utm_source=ig_twitter_share</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.instagram.com/p/BihFGXFFQNM/?utm_source=ig_twitter_share'],"['avengers', 'infinitywar']",False,[],,0,0,0,False,False,,[],en
5,festerfaster,Paroma,68176813,993910552199094272,/festerfaster/status/993910552199094272,2018-05-08 17:48:36,1525801716,Waiting to watch #infinitywar for the third time at 11.10 pm in my comfiest jeans and chappals. This time it's just #Thanos #GuardiansoftheGalaxy #Avengers and me. No talkative cousins or friends who can't keep the Marvel timeline straight. Finally! pic.twitter.com/3g7vLKnoGa,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Waiting to watch <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/infinitywar?src=hash""><s>#</s><b><strong>infinitywar</strong></b></a> for the third time at 11.10 pm in my comfiest jeans and chappals. This time it's just <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thanos?src=hash""><s>#</s><b>Thanos</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GuardiansoftheGalaxy?src=hash""><s>#</s><b>GuardiansoftheGalaxy</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> and me. No talkative cousins <strong>or</strong> friends who can't keep the Marvel timeline straight. Finally! <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3g7vLKnoGa"">pic.twitter.com/3g7vLKnoGa</a></p>",[],"['infinitywar', 'Thanos', 'GuardiansoftheGalaxy', 'Avengers']",True,['https://pbs.twimg.com/media/DcsUUz2XkAMluCQ.jpg'],,3,0,0,False,False,,[],en
6,TheWrap,TheWrap,18742360,993907176031711232,/TheWrap/status/993907176031711232,2018-05-08 17:35:11,1525800911,You Can Play As (or Fight Against) Thanos of #Avengers #InfinityWar in 'Fortnite' https://goo.gl/dUQxve pic.twitter.com/1xaDxBXEbb,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">You Can Play As (<strong>or</strong> Fight Against) Thanos of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> in 'Fortnite' <a class=""twitter-timeline-link"" data-expanded-url=""https://goo.gl/dUQxve"" dir=""ltr"" href=""https://t.co/KPlO5p6wze"" rel=""nofollow noopener"" target=""_blank"" title=""https://goo.gl/dUQxve""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">goo.gl/dUQxve</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/1xaDxBXEbb"">pic.twitter.com/1xaDxBXEbb</a></p>",['https://goo.gl/dUQxve'],"['Avengers', 'InfinityWar']",True,['https://pbs.twimg.com/media/DcsRTvyV0AAypZA.jpg'],,2,0,0,False,False,,[],en
7,defairy89,Carolina,99165797,993904561990651904,/defairy89/status/993904561990651904,2018-05-08 17:24:48,1525800288,I figured out #InfinityWar. It was one of the millions of possible outcomes for when #Thanos got the stones or one that #DoctorStrange saw. How else can the #Avengers come back from that? #Avengers4 #Marvel @MarkRuffalo P.S. who keeps deleting this post?!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I figured out <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a>. It was one of the millions of possible outcomes for when <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thanos?src=hash""><s>#</s><b>Thanos</b></a> got the stones <strong>or</strong> one that <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DoctorStrange?src=hash""><s>#</s><b>DoctorStrange</b></a> saw. How else can the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> come back from that? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers4?src=hash""><s>#</s><b>Avengers4</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Marvel?src=hash""><s>#</s><b>Marvel</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""47285504"" dir=""ltr"" href=""/MarkRuffalo""><s>@</s><b>MarkRuffalo</b></a> P.S. who keeps deleting this post?!!</p>",[],"['InfinityWar', 'Thanos', 'DoctorStrange', 'Avengers', 'Avengers4', 'Marvel']",False,[],,0,0,0,False,False,,[],en
8,peteherr,Pete Herr the Grumpy Geek,39545383,993886219883905025,/peteherr/status/993886219883905025,2018-05-08 16:11:54,1525795914,Seen Infinity War yet? Do you agree or disagree with this list of things we hope happen in Avengers 4? Thanks to @Sweetest_Lou from @The_Geekiverse for this. https://thegeekiverse.com/hopes-for-avengers-4/ … #MARVEL #Avengers #InfinityWar #Avengers4 #MCU,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Seen Infinity War yet? Do you agree <strong>or</strong> disagree with this list of things we hope happen in Avengers 4? Thanks to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2250574965"" dir=""ltr"" href=""/Sweetest_Lou""><s>@</s><b>Sweetest_Lou</b></a> from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2481030415"" dir=""ltr"" href=""/The_Geekiverse""><s>@</s><b>The_Geekiverse</b></a> for this. <a class=""twitter-timeline-link"" data-expanded-url=""https://thegeekiverse.com/hopes-for-avengers-4/"" dir=""ltr"" href=""https://t.co/eFnCJLZvgd"" rel=""nofollow noopener"" target=""_blank"" title=""https://thegeekiverse.com/hopes-for-avengers-4/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">thegeekiverse.com/hopes-for-aven</span><span class=""invisible"">gers-4/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MARVEL?src=hash""><s>#</s><b>MARVEL</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers4?src=hash""><s>#</s><b>Avengers4</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MCU?src=hash""><s>#</s><b>MCU</b></a></p>",['https://thegeekiverse.com/hopes-for-avengers-4/'],"['MARVEL', 'Avengers', 'InfinityWar', 'Avengers4', 'MCU']",False,[],,1,2,0,False,False,,[],en
9,defairy89,Carolina,99165797,993876279974875136,/defairy89/status/993876279974875136,2018-05-08 15:32:25,1525793545,@Russo_Brothers @MarvelStudios I figured out #InfinityWar. It was one of the millions of possible outcomes for when #Thanos got the stones or one that #DoctorStrange saw. How else can the #Avengers come back from that? #Avengers4 #Marvel,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3355313961"" dir=""ltr"" href=""/Russo_Brothers""><s>@</s><b>Russo_Brothers</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""750751206427860992"" dir=""ltr"" href=""/MarvelStudios""><s>@</s><b>MarvelStudios</b></a> I figured out <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a>. It was one of the millions of possible outcomes for when <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thanos?src=hash""><s>#</s><b>Thanos</b></a> got the stones <strong>or</strong> one that <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DoctorStrange?src=hash""><s>#</s><b>DoctorStrange</b></a> saw. How else can the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> come back from that? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers4?src=hash""><s>#</s><b>Avengers4</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Marvel?src=hash""><s>#</s><b>Marvel</b></a></p>",[],"['InfinityWar', 'Thanos', 'DoctorStrange', 'Avengers', 'Avengers4', 'Marvel']",False,[],,0,0,0,False,False,,[],en
