,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,lang
0,AustinEnnest,TendermaticUniverse,54138074,984181876318527488,/AustinEnnest/status/984181876318527488,2018-04-11 21:30:19,1523482219,Is Sif dead or alive? #Sif #Thor #ThorRagnarok #AvengersInfinityWar #Avengers #InfinityWar,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Is Sif dead <strong>or</strong> alive? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sif?src=hash""><s>#</s><b>Sif</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thor?src=hash""><s>#</s><b>Thor</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ThorRagnarok?src=hash""><s>#</s><b>ThorRagnarok</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AvengersInfinityWar?src=hash""><s>#</s><b>AvengersInfinityWar</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a></p>",[],"['Sif', 'Thor', 'ThorRagnarok', 'AvengersInfinityWar', 'Avengers', 'InfinityWar']",False,[],,0,0,0,False,False,,[],en
1,MamasGeeky,Mama's Geeky - Tessa Smith,481297034,984059434631655424,/MamasGeeky/status/984059434631655424,2018-04-11 13:23:46,1523453026,"Oh yeah. I think the blood bath will be #Avengers4. But I think there will be at least one death in #InfinityWar, if not 2 or 3. And there is definitely going to be a huge cliffhanger at the end. 

#InfinityWarEvent #AvengersInfinityWar #Avengers #CountdownToInfinityWar","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Oh yeah. I think the blood bath will be <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers4?src=hash""><s>#</s><b>Avengers4</b></a>. But I think there will be at least one death in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a>, if not 2 <strong>or</strong> 3. And there is definitely going to be a huge cliffhanger at the end. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWarEvent?src=hash""><s>#</s><b>InfinityWarEvent</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AvengersInfinityWar?src=hash""><s>#</s><b>AvengersInfinityWar</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CountdownToInfinityWar?src=hash""><s>#</s><b>CountdownToInfinityWar</b></a></p>",[],"['Avengers4', 'InfinityWar', 'InfinityWarEvent', 'AvengersInfinityWar', 'Avengers', 'CountdownToInfinityWar']",False,[],,2,1,0,False,True,984035132855275526,"[{'screen_name': 'GenYMama', 'user_id': '923395229616615424'}, {'screen_name': 'DisneyMomGuide', 'user_id': '971145663827255296'}]",en
2,MahnDough,Armando Martinez,982566516481601537,984041971508367360,/MahnDough/status/984041971508367360,2018-04-11 12:14:23,1523448863,I gotta stop watching these Avengers TV spots or I’ll potentially ruin the movie for myself by guessing the plot of the movie #Avengers #InfinityWar #Thanos,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I gotta stop watching these Avengers TV spots <strong>or</strong> I’ll potentially ruin the movie for myself by guessing the plot of the movie <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thanos?src=hash""><s>#</s><b>Thanos</b></a></p>",[],"['Avengers', 'InfinityWar', 'Thanos']",False,[],,0,0,0,False,False,,[],en
3,imsoharvyn,Harvyn Romanoff 𐋀,102927335,983990101087866881,/imsoharvyn/status/983990101087866881,2018-04-11 08:48:16,1523436496,"No.. as much as I so love Black Widow, i can see in the trailer that after charging the spear to Corvus, there's a split second that showed Black Widow's eyes as though she was shocked that her attack made no effect on Corvus or something like that. #InfinityWar #Avengers https://twitter.com/MleivaMunoz/status/979188233488797697 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">No.. as much as I so love Black Widow, i can see in the trailer that after charging the spear to Corvus, there's a split second that showed Black Widow's eyes as though she was shocked that her attack made no effect on Corvus <strong>or</strong> something like that. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/MleivaMunoz/status/979188233488797697"" dir=""ltr"" href=""https://t.co/2nGXTPzZrt"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/MleivaMunoz/status/979188233488797697""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/MleivaMunoz/st</span><span class=""invisible"">atus/979188233488797697</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/MleivaMunoz/status/979188233488797697'],"['InfinityWar', 'Avengers']",False,[],,2,0,0,False,False,,[],en
4,PowersNTheAttic,Madz™ Reyes,794704507,983084761429233664,/PowersNTheAttic/status/983084761429233664,2018-04-08 20:50:46,1523220646,"NEW POLL! 

Since the last was so popular and caused no angst at all, let's do another! 

Who is going to die during #Avengers #InfinityWar ? RT and quote if you have a different vote or to call me a name.

#CaptainAmerica #IronMan #Thor #Hawkeye","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NEW POLL! 

Since the last was so popular and caused no angst at all, let's do another! 

Who is going to die during <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> ? RT and quote if you have a different vote <strong>or</strong> to call me a name.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CaptainAmerica?src=hash""><s>#</s><b>CaptainAmerica</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/IronMan?src=hash""><s>#</s><b>IronMan</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thor?src=hash""><s>#</s><b>Thor</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hawkeye?src=hash""><s>#</s><b>Hawkeye</b></a></p>",[],"['Avengers', 'InfinityWar', 'CaptainAmerica', 'IronMan', 'Thor', 'Hawkeye']",False,[],,0,0,2,True,False,,[],en
5,Procrastinalien,ProcrastinatingAlien,3108556906,983066122252685313,/Procrastinalien/status/983066122252685313,2018-04-08 19:36:42,1523216202,#justforfun who are you most looking forward to seeing in #avengers #infinitywar - #BlackWidow #ScarletWitch #Gamora or #Okoye ?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/justforfun?src=hash""><s>#</s><b>justforfun</b></a> who are you most looking forward to seeing in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/avengers?src=hash""><s>#</s><b><strong>avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/infinitywar?src=hash""><s>#</s><b><strong>infinitywar</strong></b></a> - <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BlackWidow?src=hash""><s>#</s><b>BlackWidow</b></a><a dir=""ltr"" href=""/hashtag/BlackWidow?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/DisneyBlackWidow_Emoji_BlackWidowSymbol/DisneyBlackWidow_Emoji_BlackWidowSymbol.png""/></a></span> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ScarletWitch?src=hash""><s>#</s><b>ScarletWitch</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Gamora?src=hash""><s>#</s><b>Gamora</b></a> <strong>or</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Okoye?src=hash""><s>#</s><b>Okoye</b></a> ?</p>",[],"['justforfun', 'avengers', 'infinitywar', 'BlackWidow', 'ScarletWitch', 'Gamora', 'Okoye']",False,[],,0,2,0,False,False,,[],en
6,maradah,Maradah,78415114,982962880428552194,/maradah/status/982962880428552194,2018-04-08 12:46:27,1523191587,"My goal is to be a part of a Marvel's production. Whether it's music, acting, an extra, or even a voice over. Whatever services needed, I want to be there. #MarvelStudios #marvelproduction #marvelsoundtrack #Avengers #InfinityWar pic.twitter.com/U5Uoz8VnWs","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My goal is to be a part of a Marvel's production. Whether it's music, acting, an extra, <strong>or</strong> even a voice over. Whatever services needed, I want to be there. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MarvelStudios?src=hash""><s>#</s><b>MarvelStudios</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/marvelproduction?src=hash""><s>#</s><b>marvelproduction</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/marvelsoundtrack?src=hash""><s>#</s><b>marvelsoundtrack</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/U5Uoz8VnWs"">pic.twitter.com/U5Uoz8VnWs</a></p>",[],"['MarvelStudios', 'marvelproduction', 'marvelsoundtrack', 'Avengers', 'InfinityWar']",True,['https://pbs.twimg.com/media/DaQvhjJW4AA_q-n.jpg'],,4,0,1,True,False,,[],en
7,vimo_67,Vivek,497823833,982802062969892864,/vimo_67/status/982802062969892864,2018-04-08 02:07:26,1523153246,Did we all just saw the soul stone or its my mind playing games with me. #AvengersInfinityWar #Avengers #TVSpot #Marvel #InfinityWar #Wakandahttps://twitter.com/Marvel/status/982649205238845441 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Did we all just saw the soul stone <strong>or</strong> its my mind playing games with me. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AvengersInfinityWar?src=hash""><s>#</s><b>AvengersInfinityWar</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TVSpot?src=hash""><s>#</s><b>TVSpot</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Marvel?src=hash""><s>#</s><b>Marvel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Wakanda?src=hash""><s>#</s><b>Wakanda</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Marvel/status/982649205238845441"" dir=""ltr"" href=""https://t.co/OCQ2mJWmWd"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Marvel/status/982649205238845441""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Marvel/status/</span><span class=""invisible"">982649205238845441</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/Marvel/status/982649205238845441'],"['AvengersInfinityWar', 'Avengers', 'TVSpot', 'Marvel', 'InfinityWar', 'Wakandahttps']",False,[],,0,0,0,False,False,,[],en
8,iam_jaydylan,Jay Dylan,106202285,982799097752059904,/iam_jaydylan/status/982799097752059904,2018-04-08 01:55:39,1523152539,Should I go see Infinity War in my Spidey Pjs or nawl? #marvel #spiderman #avengers #infinitywar… https://www.instagram.com/p/BhSq3APFbPq/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Should I go see Infinity War in my Spidey Pjs <strong>or</strong> nawl? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/marvel?src=hash""><s>#</s><b>marvel</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/spiderman?src=hash""><s>#</s><b>spiderman</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/avengers?src=hash""><s>#</s><b><strong>avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/infinitywar?src=hash""><s>#</s><b><strong>infinitywar</strong></b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BhSq3APFbPq/"" dir=""ltr"" href=""https://t.co/EoAJ72gqQD"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BhSq3APFbPq/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BhSq3APFbPq/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://www.instagram.com/p/BhSq3APFbPq/'],"['marvel', 'spiderman', 'avengers', 'infinitywar']",False,[],,0,0,0,False,False,,[],en
9,youmefiction,"you, me, fiction.",960542649240334336,983363080745865217,/youmefiction/status/983363080745865217,2018-04-09 15:16:43,1523287003,"Was #SebastianStan always this handsome or do I realize it now just because I know he's going to be holding Cap's shield? Because that smile, damn! 

#Avengers #AvengersInfinityWar #InfinityWar #BuckyBarnes #Bucky #CaptainAmerica #steverogerspic.twitter.com/mYG91u5CcU","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Was <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SebastianStan?src=hash""><s>#</s><b>SebastianStan</b></a> always this handsome <strong>or</strong> do I realize it now just because I know he's going to be holding Cap's shield? Because that smile, damn! 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Avengers?src=hash""><s>#</s><b><strong>Avengers</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AvengersInfinityWar?src=hash""><s>#</s><b>AvengersInfinityWar</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/InfinityWar?src=hash""><s>#</s><b><strong>InfinityWar</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BuckyBarnes?src=hash""><s>#</s><b>BuckyBarnes</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bucky?src=hash""><s>#</s><b>Bucky</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CaptainAmerica?src=hash""><s>#</s><b>CaptainAmerica</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/steverogers?src=hash""><s>#</s><b>steverogers</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/mYG91u5CcU"">pic.twitter.com/mYG91u5CcU</a></p>",[],"['SebastianStan', 'Avengers', 'AvengersInfinityWar', 'InfinityWar', 'BuckyBarnes', 'Bucky', 'CaptainAmerica', 'steverogerspic']",True,['https://pbs.twimg.com/media/DaWbfuPWAAAQSdU.jpg'],,1,1,0,False,False,,[],en
